composer,era
'Mr Beck' - Balcarrers Lute Book,baroque
? Francis Cutting,renaissance
? P Guedron,baroque
?Ambrose Lupo,renaissance
?Anthony de Countie,renaissance
?Gaultier,baroque
?John Whitfield,baroque
?Richard Green,baroque
?Robert Johnson,baroque
Alessandro Piccinini,baroque
Alfonso Ferrabosco,renaissance
Alfonso Ferrabosco 1,renaissance
Alfonso Ferrabosco I,renaissance
Alfonso Ferrabosco the younger,baroque
Anon,unknown
"Anon ""CK"" (Cosens Lute Book",baroque
Anon (Combined sources,unknown
Anon (Cosens Lute Book,baroque
Anon 16th Century,renaissance
Anon 16th century,renaissance
Anon 1603,renaissance
Anon Dd. 2.11 f.9,baroque
Anon Dd.2.11 f.8,baroque
"Anon, 16th Century",renaissance
"Anon, Pickering Lute Book",baroque
Anon. ? Hans Leo Hassler,renaissance
Anon. ?Thomas Smyth,baroque
Anon. (Cosens Lute Book,baroque
Anon. - from a Lyra Viol MS in,baroque
Anon. 16th century,renaissance
Anon. CUL Dd.2.11f.68r,baroque
Anon. Hisch Lute book f.4,baroque
Anon: CUL MS Dd.9.33,renaissance
Anon: Hirsch Lute Book,baroque
Anon; Willoughby Lute Book ff.17v-18r,baroque
Anonymous,unknown
Anonymous setting of Dowland's Lachrimae,renaissance
Anthoy Holborne,renaissance
Anthony Holborne,renaissance
Antonio Rovira,romantic
Antonio Vivaldi,baroque
Arr: de F. Tárrega,romantic
Attr. Jakub Polak,renaissance
Attr. John Dowland,renaissance
Attr. Philip van Wilder,renaissance
Augustine Bassano,renaissance
"Balcarres Lute Book, ""Mr. Beck""",baroque
Balcarres Lute Book,baroque
Baruch Bulman,unknown
"Carl Friedrich Abel",classical
"Charles Mouton",baroque
"Christopher Larkin, Arranged by Beyond the Guitar",modern
Cuthbert Hely,baroque
D. Aguado,classical
D. Joly,unknown
Daniel Bacheler,renaissance
Daniel Farrant,baroque
Daniel Purcell,baroque
David Grieve,unknown
Dieterich Buxtehude,baroque
Dietrich Steffkins,baroque
Dilermando Reis,modern
Dionisio Aguado,classical
Domenico Pellegrini,baroque
Dorival Caymmi,modern
Edward Pierce,baroque
Emmanuel Adriaenssen,renaissance
Enemond Gaultier,baroque
Ernesto Nazareth,modern
Esaias Reusner,baroque
Exercise,unknown
F. Schubert,romantic
F. Sor,classical
Felix Horetzky,classical
Fernando Sor,classical
Francis Cutting,renaissance
Francis Cutting Cozens Lute Book,renaissance
Francis Cutting or John Dowland,renaissance
Francis Cutting or Richard Allison,renaissance
Francis Cutting/William Byrd,renaissance
Francis Pilkington,renaissance
Francisco Tárrega,romantic
Frantisek Max Knjze,classical
Gabriel Fauré,romantic
Gaultier,baroque
"Germain Pinel, Pickering Lute Book",baroque
Giovanni Paolo Foscarini,baroque
Giulio Abondante,renaissance
H. I. F. von Biber,baroque
Heitor Villa-Lobos,modern
Henry Purcell,baroque
Isaac Albéniz,romantic
J. Brahms,romantic
J. S. Bach,baroque
J.S. Bach,baroque
Jacob Polak,renaissance
Jacques Gallot,baroque
Jakub Polak,renaissance
Jakup Polak,renaissance
Jean Mercure,baroque
Jean-Baptiste Besard,baroque
Joan Ambrosio Dalza,renaissance
Joanambrosio Dalza,renaissance
Johann Hermann Schein 1586 - 1613),baroque
Johann Hieronymous Kapsberger,baroque
Johann Hieronymus Kapsberger,baroque
Johann Kaspar Mertz,romantic
Johann Sebastian Bach,baroque
John Coprario,baroque
John Danyel,renaissance
John Danyel 1564 –,renaissance
John Dowland,renaissance
John Dowland/Francis Cutting,renaissance
John McLauchland,unknown
John Whitfield,baroque
João Pernambuco,modern
Joseph Bodin de Boismortier,baroque
Joseph Küffner,classical
Joseph Sherlie,baroque
Ludwig van Beethoven,classical
Luis Milan,renaissance
MARTIN PEERSON,renaissance
Marco dall'Aquila,renaissance
"Margaret Board Lute Book f.31",baroque
Marin Marais,baroque
Martin Peerson,renaissance
Mateo Carcassi,classical
Matteo Carcassi,classical
Maurice Ravel,modern
Mauro Giuliani,classical
Michael Cavendish,renaissance
Michelangelo Galilei,baroque
Newman,baroque
Nicholas Strogers,renaissance
Nicolaes Vallet,baroque
Paulinho Nogueira,modern
Philip van Wilder,renaissance
Phillip Franz Le Sage de Richée,baroque
Pixinguinha,modern
Radan Papežík,modern
René Saman,modern
Richard Allison,renaissance
Robert Ballard,baroque
Robert Johnson,baroque
Robert de Visee,baroque
Robert de Visée,baroque
Santiago de Murcia,baroque
