candidate_id,source,title,composer_normalized,era,dummy_grade,dummy_grade_source,rationale
mutopia:ftp/AguadoD/O4/AguadoOp4No5/AguadoOp4No5#movement03,mutopia,Six Petites Pièces,Dionisio Aguado,Classical,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:rodrigoborgesdeoliveira/sheet-music-and-chords@main:matteo-carcassi/study-3/study-3.musicxml,github,Study 3,Matteo Carcassi,Classical,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No1/AguadoOp4No1#movement02,mutopia,"Six Petites Pièces, No. 1",Dionisio Aguado,Classical,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O2/sor_op2_3/sor_op2_3#movement02,mutopia,Six divertissements pour la guitare,Fernando Sor,Classical,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/aminor-study/aminor-study#movement01,mutopia,Study in A Minor,Dionisio Aguado,Classical,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No1/AguadoOp4No1#movement01,mutopia,"Six Petites Pièces, No. 1",Dionisio Aguado,Classical,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No2/AguadoOp4No2#movement02,mutopia,"Six Petites Pièces, No. 2",Dionisio Aguado,Classical,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O35/sorf_op35_no16/sorf_op35_no16#movement01,mutopia,24 Studies for the Guitar,Fernando Sor,Classical,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/GiulianiM/O100/GiulianiOp100No8/GiulianiOp100No8#movement01,mutopia,24 Studies for the Guitar,Mauro Giuliani,Classical,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No2/AguadoOp4No2#movement01,mutopia,"Six Petites Pièces, No. 2",Dionisio Aguado,Classical,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No3/AguadoOp4No3#movement03,mutopia,Six Petites Pièces,Dionisio Aguado,Classical,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O35/sorf_op35_no21/sorf_op35_no21#movement01,mutopia,24 Studies for the Guitar,Fernando Sor,Classical,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O35/sorf_op35_no5/sorf_op35_no5#movement01,mutopia,24 Studies for the Guitar,Fernando Sor,Classical,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No3/AguadoOp4No3#movement04,mutopia,Six Petites Pièces,Dionisio Aguado,Classical,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No4/AguadoOp4No4#movement04,mutopia,"Six Petites Pièces, No. 4",Dionisio Aguado,Classical,6,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O5/sor-op5-5/sor-op5-5#movement01,mutopia,Andante Largo,Fernando Sor,Classical,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/SorF/O60/sor_op60-06/sor_op60-06#movement01,mutopia,25 Progressive Studies,Fernando Sor,Classical,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/AguadoD/O4/AguadoOp4No4/AguadoOp4No4#movement03,mutopia,"Six Petites Pièces, No. 4",Dionisio Aguado,Classical,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/adelita.musicxml,github,Adelita,Francisco Tárrega,Romantic,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/MertzJK/mertz_etude/mertz_etude#movement01,mutopia,Etude in A minor,Johann Kaspar Mertz,Romantic,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/TarregaF/capricho-arabe/capricho-arabe#movement02,mutopia,Capricho Árabe,Francisco Tárrega,Romantic,7,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/capricho-arabe.musicxml,github,Capricho Árabe (Theme),Francisco Tárrega,Romantic,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/estudio-am.musicxml,github,Estudio in A minor,Francisco Tárrega,Romantic,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/lagrima.musicxml,github,Lágrima,Francisco Tárrega,Romantic,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/recuerdos-theme.musicxml,github,Recuerdos de la Alhambra (Theme),Francisco Tárrega,Romantic,3,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
gh:LYD01/music-teacher@main:public/pieces/prelude-emin-villalobos.musicxml,github,Prelude No. 1 in E minor (Theme),Heitor Villa-Lobos,Modern,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
mutopia:ftp/BachJS/BWV999/Bach_Prelude_BWV999/Bach_Prelude_BWV999#movement01,mutopia,Prelude,J.S. Bach,Baroque,5,dummy-advisor-v0,Seeded from baseline grader percentile-composite (scripts/m2_baseline_grader.py); awaiting advisor overwrite.
