candidate_id,source,title,composer_normalized,grade,grade_source,midi_min,midi_max,midi_range,midi_median,key_fifths,key_changes,tempo_bpm,time_sig,meter_changes,smallest_division,dotted_count,tied_count,tuplet_count,notes_per_measure,accidentals_outside_key,max_chord_stack,polyphonic_measure_ratio,voice_count_max,ornament_mordent,ornament_trill,ornament_turn,grace_count,harmonic_count,barre_count,position_shift_proxy,pitch_min_fret_max,pitch_min_fret_p90,pitch_position_shifts,measure_count,note_count,duration_sec_approx
gh:LYD01/music-teacher@main:public/pieces/adelita.musicxml,github,Adelita,Francisco Tárrega,,,59,71,12,65.5,1,1,88.0,3/4,1,4,2,0,0,2.5,2,0,0.0,0,0,0,0,0,0,0,,7,5,2,8,20,16.4
gh:LYD01/music-teacher@main:public/pieces/am-dm-e-progression.musicxml,github,Am - Dm - E Progression,Exercise,,,40,65,25,57,0,1,72.0,4/4,1,4,0,0,0,4.1,2,5,0.125,0,0,0,0,0,0,0,,3,2,0,8,33,26.7
gh:LYD01/music-teacher@main:public/pieces/asturias-theme.musicxml,github,Asturias (Leyenda) - Theme,Isaac Albéniz,,,45,72,27,52,0,1,84.0,3/4,1,8,0,0,0,5.4,2,0,0.0,0,0,0,0,0,0,0,,8,7,22,8,44,17.1
gh:LYD01/music-teacher@main:public/pieces/basic-open-chords.musicxml,github,Basic Open Chords,Exercise,,,40,67,27,56,0,1,60.0,4/4,1,1,0,0,0,5.1,3,6,1.0,0,0,0,0,0,0,0,,3,3,0,8,41,32.0
gh:LYD01/music-teacher@main:public/pieces/capricho-arabe.musicxml,github,Capricho Árabe (Theme),Francisco Tárrega,,,62,74,12,67.0,-1,1,76.0,3/4,1,4,0,0,0,2.8,0,0,0.0,0,0,0,0,0,0,0,,10,8,4,8,23,18.9
gh:LYD01/music-teacher@main:public/pieces/estudio-am.musicxml,github,Estudio in A minor,Francisco Tárrega,,,57,72,15,68,0,1,90.0,4/4,1,4,0,0,0,3.6,3,0,0.0,0,0,0,0,0,0,0,,8,7,3,8,29,21.3
gh:LYD01/music-teacher@main:public/pieces/farruca.musicxml,github,Farruca,Traditional Flamenco,,,52,72,20,60,0,1,88.0,4/4,1,8,1,0,0,4.6,5,0,0.0,0,0,0,0,0,0,0,,8,5,0,8,37,21.8
gh:LYD01/music-teacher@main:public/pieces/first-string-notes.musicxml,github,Notes on the High E String,Exercise,,,64,67,3,65,0,1,70.0,4/4,1,4,0,0,0,3.4,0,0,0.0,0,0,0,0,0,0,0,,3,3,0,8,27,27.4
gh:LYD01/music-teacher@main:public/pieces/greensleeves.musicxml,github,Greensleeves,Traditional English,,,55,65,10,59,0,1,100.0,3/4,1,8,4,0,0,2.1,1,0,0.0,0,0,0,0,0,0,0,,3,2,0,8,18,14.4
gh:LYD01/music-teacher@main:public/pieces/lagrima.musicxml,github,Lágrima,Francisco Tárrega,,,64,76,12,71.0,4,1,72.0,3/4,1,8,3,0,0,2.5,9,0,0.0,0,0,0,0,0,0,0,,12,10,2,8,20,20.0
gh:LYD01/music-teacher@main:public/pieces/malaguena.musicxml,github,Malagueña,Traditional Spanish,,,52,65,13,62.0,0,1,100.0,3/4,1,4,1,0,0,2.8,0,0,0.0,0,0,0,0,0,0,0,,3,3,0,8,22,14.4
gh:LYD01/music-teacher@main:public/pieces/ode-to-joy.musicxml,github,Ode to Joy,Ludwig van Beethoven,,,60,67,7,64.0,0,1,100.0,4/4,1,8,2,0,0,3.8,0,0,0.0,0,0,0,0,0,0,0,,3,3,0,8,30,19.2
gh:LYD01/music-teacher@main:public/pieces/open-string-notes.musicxml,github,Open String Notes,Exercise,,,40,64,24,52.5,0,1,60.0,4/4,1,4,0,0,0,2.2,0,0,0.0,0,0,0,0,0,0,0,,0,0,0,8,18,32.0
