candidate_id,source,composer_normalized,title,actual_grade,actual_grade_source,predicted_grade,model_version,p_G3,p_G5,p_G6,p_G7,p_G8,p_G9
gh:LYD01/music-teacher@main:public/pieces/adelita.musicxml,github,Francisco Tárrega,Adelita,3,dummy-advisor-v0,3,dummy-v0,0.982,0.017,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/am-dm-e-progression.musicxml,github,Exercise,Am - Dm - E Progression,5,dummy-advisor-v0,5,dummy-v0,0.275,0.725,0.001,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/asturias-theme.musicxml,github,Isaac Albéniz,Asturias (Leyenda) - Theme,3,dummy-advisor-v0,3,dummy-v0,0.830,0.169,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/basic-open-chords.musicxml,github,Exercise,Basic Open Chords,5,dummy-advisor-v0,5,dummy-v0,0.044,0.911,0.035,0.003,0.007,0.000
gh:LYD01/music-teacher@main:public/pieces/capricho-arabe.musicxml,github,Francisco Tárrega,Capricho Árabe (Theme),3,dummy-advisor-v0,3,dummy-v0,0.971,0.029,0.001,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/estudio-am.musicxml,github,Francisco Tárrega,Estudio in A minor,3,dummy-advisor-v0,3,dummy-v0,0.991,0.009,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/farruca.musicxml,github,Traditional Flamenco,Farruca,3,dummy-advisor-v0,3,dummy-v0,0.959,0.040,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/first-string-notes.musicxml,github,Exercise,Notes on the High E String,3,dummy-advisor-v0,3,dummy-v0,0.997,0.003,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/greensleeves.musicxml,github,Traditional English,Greensleeves,3,dummy-advisor-v0,3,dummy-v0,0.974,0.026,0.000,0.000,0.000,0.000
gh:LYD01/music-teacher@main:public/pieces/lagrima.musicxml,github,Francisco Tárrega,Lágrima,3,dummy-advisor-v0,3,dummy-v0,0.976,0.023,0.001,0.000,0.000,0.000
